"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"430","RT @ShibaArchives: If I sent you 250,000,000 $SHIB randomly, are you holding or selling? <U+0001F914>",FALSE,0,NA,2021-12-10 05:32:52,FALSE,NA,"1469178280527884288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lingling_kho",111,TRUE,FALSE,NA,NA
"431","RT @shibburn: In the past 24 hours, there have been a total of 20,617,673 $SHIB tokens burned and 11 transactions. So far, a total of 410,2…",FALSE,0,NA,2021-12-10 05:32:51,FALSE,NA,"1469178275914211330",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mehmetSur21",46,TRUE,FALSE,NA,NA
"432","RT @shibburn: In the past 24 hours, there have been a total of 20,617,673 $SHIB tokens burned and 11 transactions. So far, a total of 410,2…",FALSE,0,NA,2021-12-10 05:32:51,FALSE,NA,"1469178274622619650",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HunhLm43312718",46,TRUE,FALSE,NA,NA
"433","RT @Shiblucky: If you hold 10m+ $SHIB, Retweet!<U+0001F503><U+0001F4AF>",FALSE,0,NA,2021-12-10 05:32:51,FALSE,NA,"1469178273657614336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SwsDarwin",70,TRUE,FALSE,NA,NA
"434","RT @MMCrypto: You can only hold one: 

- $BTC  
- $ETH
- $VPAD
- $BNB
- $SOL
- $FTM
- $XRP 
- $ADA 
- $SHIB
- $MATIC
- $EGLD

What do you c…",FALSE,0,NA,2021-12-10 05:32:50,FALSE,NA,"1469178269123551237",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Hoangvietgtvt",345,TRUE,FALSE,NA,NA
"435","RT @WhaleInsider: If $SHIB reaches $0.00004 in 24 hours I’m giving away 1 billion #Shib to everyone who follows and retweets. Let’s go #Shi…",FALSE,0,NA,2021-12-10 05:32:47,FALSE,NA,"1469178260525256705",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","spandar5",5178,TRUE,FALSE,NA,NA
"436","RT @WhaleInsider: If $SHIB reaches $0.00004 in 24 hours I’m giving away 1 billion #Shib to everyone who follows and retweets. Let’s go #Shi…",FALSE,0,NA,2021-12-10 05:32:45,FALSE,NA,"1469178248261251078",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","henky4",5178,TRUE,FALSE,NA,NA
"437","RT @CryptooBeast: If I sent u 100,000,000 $Shib randomly are you selling ??<U+0001F440>",FALSE,0,NA,2021-12-10 05:32:43,FALSE,NA,"1469178242841989122",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","adianggara901",132,TRUE,FALSE,NA,NA
"438","RT @ShibInform: If you hold 15m+ $SHIB, Retweet!<U+0001F503><U+0001F4AF><U+0001F680>",FALSE,0,NA,2021-12-10 05:32:43,FALSE,NA,"1469178240589864964",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","catalin41413666",235,TRUE,FALSE,NA,NA
"439","RT @shibburn: In the past hour, there have been a total of 1,250,000 $SHIB tokens burned and 2 transactions. #shibarmy",FALSE,0,NA,2021-12-10 05:32:43,FALSE,NA,"1469178240183017473",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PatrickRamathe1",66,TRUE,FALSE,NA,NA
"440","RT @ShibInform: If I sent u 250,000,000 $Shib randomly are you selling ??<U+0001F440>",FALSE,0,NA,2021-12-10 05:32:42,FALSE,NA,"1469178238236651523",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RogerGabato",947,TRUE,FALSE,NA,NA
"441","RT @Tronminingg: 6000$  $shib RANDOM WINNER <U+0001F389>

follow me + retweet this post

#Ethereum #btc  #giveaway #SHIB #doge #SHIBARMY",FALSE,0,NA,2021-12-10 05:32:41,FALSE,NA,"1469178234369724418",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CryptoC64931223",1969,TRUE,FALSE,NA,NA
"442","RT @ShibInform: $SHIB going to $0.10 #SHIBARMY",FALSE,0,NA,2021-12-10 05:32:40,FALSE,NA,"1469178228988420104",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JamesMc36157926",967,TRUE,FALSE,NA,NA
"443","RT @ShibInform: If you hold 15m+ $SHIB, Retweet!<U+0001F503><U+0001F4AF><U+0001F680>",FALSE,0,NA,2021-12-10 05:32:40,FALSE,NA,"1469178228732575749",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bschrad07",235,TRUE,FALSE,NA,NA
"444","RT @ShibReports: BREAKING: While @RobinhoodApp has not made any official announcement about listing $SHIB, we’re told by an insider that th…",FALSE,0,NA,2021-12-10 05:32:40,FALSE,NA,"1469178227973402626",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GerardoMiamiFL",1215,TRUE,FALSE,NA,NA
"445","RT @SHIB_Game: 300,000,000 $SHIB To 3 Lucky People Who Retweet and Follow

Best Of Luck... <U+2764><U+FE0F> <U+0001F4AF> <U+0001F381>",FALSE,0,NA,2021-12-10 05:32:39,FALSE,NA,"1469178223594405888",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AndreEsperias",1744,TRUE,FALSE,NA,NA
"446","RT @WhaleInsider: If $SHIB reaches $0.00004 in 24 hours I’m giving away 1 billion #Shib to everyone who follows and retweets. Let’s go #Shi…",FALSE,0,NA,2021-12-10 05:32:38,FALSE,NA,"1469178221883113479",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HemantS41186472",5178,TRUE,FALSE,NA,NA
"447","RT @Bitstamp: Christmas came early this year! Look at what's waiting for you under the tree <U+0001F384>

4 new #crypto are coming to Bitstamp in the…",FALSE,0,NA,2021-12-10 05:32:37,FALSE,NA,"1469178218640986116",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alexmcl04",1099,TRUE,FALSE,NA,NA
"448","RT @ShibInform: Who believes in $Shib losing another zero? <U+0001F440>",FALSE,0,NA,2021-12-10 05:32:36,FALSE,NA,"1469178213578547201",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JamesMc36157926",735,TRUE,FALSE,NA,NA
"449","RT @Newegg: We're now accepting $SHIB. Just select @BitPay as your payment when checking out using a PC. @Shibtoken @ShytoshiKusama #ShibAr…",FALSE,0,NA,2021-12-10 05:32:35,FALSE,NA,"1469178208893521923",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iiTzIan_",4774,TRUE,FALSE,NA,NA
"450","RT @NewsRoom21: #saitama <U+0001F440><U+0001F5DE><U+FE0F>

#saitaswap
#SaitaMask #SaitaStudios
#SaitamaAngels #SaitamaWolfPack 

#Crypto
#CryptoNews 
#cryptocurrency 
#…",FALSE,0,NA,2021-12-10 05:32:34,FALSE,NA,"1469178202664804354",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bitmoneymagnet",155,TRUE,FALSE,NA,NA
"451","RT @WatcherGuru: Top 3 Mentioned crypto hashtags in the past 24 hours:

1. $SHIB
2. #SAITAMA
3. $ETH",FALSE,0,NA,2021-12-10 05:32:31,FALSE,NA,"1469178189645697025",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ArpiRobbie",121,TRUE,FALSE,NA,NA
"452","RT @BitShiba: 100,000,000 $SHIB Satoshi To 2 Lucky People Who Retweet and Follow

<U+2705>RT + <U+2764><U+FE0F> follow me",FALSE,0,NA,2021-12-10 05:32:29,FALSE,NA,"1469178184834891778",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Ramazan25789159",1003,TRUE,FALSE,NA,NA
